Algorithm,Performance_Metric_New,Performance_Metric,Unigram,Unigram_Composite,Unigram_Bigram,Unigram_Bigram_Trigram,Unigram_Bigram_Trigram_Composite,Neg_Pos,Part_Of_Speech,Composite_Numerical,Category,Data_Size
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.932295303,0.949906128,0.947789364,0.946675434,0.949423218,0.775157986,0.656545049,0.799771089,VS,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.936,0.95,0.955,0.954,0.947,0.789,0.662,0.811,VS,2k
MX,meanRecall,cv_MX_train.meanRecall,0.927,0.95,0.942,0.939,0.951,0.746,0.64,0.779,VS,2k
MX,meanFscore,cv_MX_train.meanFscore,0.931068373,0.949666174,0.948334545,0.946110849,0.948689095,0.766409134,0.649925839,0.794398897,VS,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.784413582,0.62212923,0.792852396,0.799127874,0.627531433,0.541312473,0.605423381,0.549589247,VS,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.764,0.6,0.773,0.776,0.608,0.538,0.584,0.534,VS,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.822,0.734,0.83,0.836,0.726,0.688,0.73,0.777,VS,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.791253011,0.658329635,0.799967849,0.804036556,0.659722813,0.577928609,0.647668789,0.630642054,VS,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.78335141,0.823920337,0.810982664,0.808689864,0.823018123,0.744001211,0.612409824,0.781844508,VS,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.764,0.822,0.825,0.808,0.817,0.741,0.611,0.783,VS,2k
BG,meanRecall,cv_BG_train.meanRecall,0.819,0.828,0.79,0.812,0.83,0.749,0.623,0.781,VS,2k
BG,meanFscore,cv_BG_train.meanFscore,0.789402711,0.824566469,0.805578963,0.808765007,0.822888328,0.744292738,0.614523132,0.780841355,VS,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.735497538,0.774225328,0.730280705,0.731544888,0.784274131,0.754797375,0.563371451,0.757122957,VS,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.687,0.801,0.68,0.679,0.803,0.738,0.549,0.741,VS,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.868,0.733,0.87,0.873,0.754,0.797,0.732,0.797,VS,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.766333565,0.761796961,0.7629208,0.763216083,0.775518436,0.763171835,0.625726591,0.765036818,VS,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.836125916,0.864289972,0.854608083,0.86158216,0.856413518,0.756265519,0.63920101,0.779442674,VS,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.844,0.851,0.87,0.879,0.849,0.753,0.638,0.77,VS,2k
RF,meanRecall,cv_RF_train.meanRecall,0.825,0.884,0.835,0.842,0.867,0.765,0.645,0.797,VS,2k
RF,meanFscore,cv_RF_train.meanFscore,0.833709742,0.866780357,0.851276984,0.859388785,0.857448226,0.757903333,0.6399078,0.782556321,VS,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499555208,0.499426978,0.500682409,0.499718995,0.499426978,0.499668363,0.499668363,0.499668363,VS,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,0.501,0.5,0.501,0.501,0.501,0.501,0.501,VS,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,VS,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666102922,0.666732494,0.666079267,0.667030908,0.666732494,0.666715548,0.666715548,0.666715548,VS,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.832429871,0.81054002,0.852752596,0.847921418,0.814989253,0.742608764,0.587314216,0.783464671,VS,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.838,0.816,0.852,0.853,0.828,0.743,0.608,0.785,VS,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.82,0.806,0.852,0.841,0.799,0.793,0.486,0.783,VS,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.827967401,0.809447982,0.851697011,0.84662322,0.811259024,0.759409372,0.535809823,0.783061401,VS,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.904324024,0.872069006,0.905840664,0.890379521,0.878863014,0.872402609,0.898602344,0.86947194,VS,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.892,0.847,0.893,0.879,0.86,0.818,0.618888889,0.81,VS,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.804,0.858,0.843,0.833,0.862,0.821,0.68,0.817,VS,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.844453863,0.851119317,0.865852663,0.855245085,0.859542293,0.817828753,0.644652927,0.812059688,VS,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.801924852,0.799988234,0.829210675,0.81759315,0.821252565,0.751706498,0.592398207,0.709994861,Camera,4k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.868,0.869,0.88,0.878,0.883,0.794,0.74,0.825,Camera,4k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.713,0.708,0.763,0.736,0.742,0.677,0.291,0.537,Camera,4k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.782123452,0.779688428,0.816931948,0.80052867,0.806016452,0.730532165,0.410542309,0.64976937,Camera,4k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.939557251,0.934625701,0.94526395,0.943722633,0.94159572,0.833025219,0.702313265,0.837485952,Camera,4k
MX,meanPrecision,cv_MX_train.meanPrecision,0.939,0.939,0.949,0.949,0.954,0.831,0.702,0.835,Camera,4k
MX,meanRecall,cv_MX_train.meanRecall,0.938,0.93,0.942,0.938,0.929,0.836,0.706,0.84,Camera,4k
MX,meanFscore,cv_MX_train.meanFscore,0.938214625,0.934345978,0.945391669,0.943317091,0.941170978,0.833283389,0.703611515,0.837381674,Camera,4k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.822073343,0.643594109,0.843957798,0.843114201,0.646574421,0.565357198,0.644837915,0.576408756,Camera,4k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.799,0.611,0.825,0.824,0.615,0.543,0.614,0.548,Camera,4k
SVM,meanRecall,cv_SVM_train.meanRecall,0.858,0.789,0.873,0.873,0.782,0.862,0.789,0.856,Camera,4k
SVM,meanFscore,cv_SVM_train.meanFscore,0.827138776,0.688191015,0.847626456,0.84767032,0.687813484,0.665743694,0.690113956,0.667875798,Camera,4k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.821908696,0.857131561,0.820214007,0.827273651,0.853724735,0.805235715,0.684167497,0.828569124,Camera,4k
BG,meanPrecision,cv_BG_train.meanPrecision,0.818,0.848,0.81,0.815,0.843,0.798,0.685,0.821,Camera,4k
BG,meanRecall,cv_BG_train.meanRecall,0.832,0.872,0.836,0.842,0.868,0.816,0.682,0.843,Camera,4k
BG,meanFscore,cv_BG_train.meanFscore,0.824600829,0.859468566,0.822014285,0.828188012,0.85501531,0.806536486,0.683171787,0.83170397,Camera,4k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.755513066,0.823572897,0.756062493,0.755898049,0.823572897,0.801633436,0.635873165,0.802377852,Camera,4k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.731,0.813,0.729,0.729,0.813,0.801,0.627,0.804,Camera,4k
TREE,meanRecall,cv_TREE_train.meanRecall,0.814,0.84,0.817,0.812,0.84,0.804,0.69,0.801,Camera,4k
TREE,meanFscore,cv_TREE_train.meanFscore,0.769215715,0.825284793,0.769478359,0.767907322,0.825284793,0.800992925,0.652895378,0.801245937,Camera,4k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.879144083,0.878865535,0.884655389,0.884104957,0.878732525,0.824680838,0.699844731,0.835387624,Camera,4k
RF,meanPrecision,cv_RF_train.meanPrecision,0.878,0.865,0.885,0.881,0.865,0.812,0.7,0.821,Camera,4k
RF,meanRecall,cv_RF_train.meanRecall,0.882,0.897,0.886,0.886,0.894,0.842,0.702,0.859,Camera,4k
RF,meanFscore,cv_RF_train.meanFscore,0.879480559,0.880309285,0.884905431,0.883423912,0.879002247,0.826629522,0.700626337,0.839376101,Camera,4k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500156097,0.500075185,0.499363461,0.500134449,0.500075185,0.500490751,0.500490751,0.500490751,Camera,4k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,0.499,0.499,0.5,0.499,0.5,0.5,0.5,Camera,4k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Camera,4k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666207292,0.665043364,0.665389201,0.66635834,0.665043364,0.666453975,0.666453975,0.666453975,Camera,4k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.86778547,0.857103569,0.871555551,0.874597448,0.855526552,0.814886991,0.662978662,0.822229366,Camera,4k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.895,0.876,0.895,0.899,0.872,0.825,0.692,0.841,Camera,4k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.833,0.829,0.841,0.845,0.835,0.797,0.586,0.795,Camera,4k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.862534399,0.851689575,0.866767996,0.87097923,0.852766543,0.810517404,0.63301336,0.817229883,Camera,4k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.907969438,0.90420571,0.915506871,0.910783453,0.901752818,0.899885375,0.879900387,0.889231875,Camera,4k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.899,0.882,0.909,0.897,0.868,0.862,0.73,0.848,Camera,4k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.833,0.883,0.844,0.84,0.901,0.87,0.707,0.874,Camera,4k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.864476299,0.882036793,0.874788416,0.867161053,0.884064555,0.864842106,0.713131091,0.859832192,Camera,4k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.823370219,0.82786938,0.830325833,0.831018271,0.834789493,0.726582149,0.528530996,0.617140388,Laptop,4k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.849,0.843,0.845,0.847,0.846,0.671,0.526,0.579,Laptop,4k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.788,0.804,0.809,0.809,0.82,0.894,0.822,0.89,Laptop,4k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.816423975,0.822127467,0.825559914,0.827114856,0.831696389,0.766482259,0.627115321,0.698952173,Laptop,4k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.945532965,0.933090931,0.953194557,0.95224356,0.939860501,0.817658625,0.696449577,0.834571879,Laptop,4k
MX,meanPrecision,cv_MX_train.meanPrecision,0.945,0.935,0.955,0.954,0.946,0.81,0.692,0.834,Laptop,4k
MX,meanRecall,cv_MX_train.meanRecall,0.945,0.93,0.951,0.949,0.931,0.828,0.705,0.838,Laptop,4k
MX,meanFscore,cv_MX_train.meanFscore,0.944894123,0.932336373,0.95293725,0.951445048,0.938357464,0.818690349,0.69791807,0.83567847,Laptop,4k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.823513448,0.616804537,0.836385982,0.838393166,0.630959729,0.565764717,0.633422061,0.569968948,Laptop,4k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.844,0.591,0.857,0.859,0.603,0.544,0.604,0.545,Laptop,4k
SVM,meanRecall,cv_SVM_train.meanRecall,0.796,0.766,0.808,0.809,0.775,0.863,0.781,0.854,Laptop,4k
SVM,meanFscore,cv_SVM_train.meanFscore,0.819113676,0.666867764,0.831552545,0.83282756,0.678005672,0.666577674,0.680670376,0.66493665,Laptop,4k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.814420476,0.855513889,0.823110914,0.8160042,0.860637239,0.799797743,0.687908826,0.827103089,Laptop,4k
BG,meanPrecision,cv_BG_train.meanPrecision,0.795,0.847,0.811,0.807,0.85,0.795,0.694,0.813,Laptop,4k
BG,meanRecall,cv_BG_train.meanRecall,0.847,0.868,0.838,0.83,0.877,0.811,0.675,0.85,Laptop,4k
BG,meanFscore,cv_BG_train.meanFscore,0.819614511,0.856767538,0.824079546,0.818042025,0.862624503,0.80254947,0.683757906,0.830773488,Laptop,4k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.728028118,0.825849592,0.728988173,0.725249674,0.825849592,0.81010643,0.64942966,0.806843026,Laptop,4k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.687,0.785,0.69,0.686,0.785,0.789,0.683,0.783,Laptop,4k
TREE,meanRecall,cv_TREE_train.meanRecall,0.832,0.896,0.826,0.833,0.896,0.847,0.559,0.852,Laptop,4k
TREE,meanFscore,cv_TREE_train.meanFscore,0.752183271,0.836511617,0.751555057,0.752085295,0.836511617,0.816583375,0.61355442,0.815121071,Laptop,4k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.871773511,0.875395668,0.881262025,0.883037881,0.878593593,0.823422566,0.70320886,0.838637034,Laptop,4k
RF,meanPrecision,cv_RF_train.meanPrecision,0.885,0.872,0.898,0.899,0.877,0.814,0.713,0.828,Laptop,4k
RF,meanRecall,cv_RF_train.meanRecall,0.854,0.879,0.861,0.863,0.881,0.837,0.682,0.853,Laptop,4k
RF,meanFscore,cv_RF_train.meanFscore,0.868842451,0.875211485,0.878923953,0.880318098,0.878674904,0.825062951,0.696448309,0.839890869,Laptop,4k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499834567,0.500033173,0.499845335,0.499970449,0.500033173,0.500506927,0.500506927,0.500506927,Laptop,4k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,0.501,0.499,0.5,0.501,0.501,0.501,0.501,Laptop,4k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Laptop,4k
NNET,meanFscore,cv_NNET_train.meanFscore,0.665384665,0.667335555,0.665505656,0.666382311,0.667335555,0.667325359,0.667325359,0.667325359,Laptop,4k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.858798149,0.804351281,0.859219124,0.860011032,0.836873776,0.813602654,0.660666843,0.823541943,Laptop,4k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.881,0.816,0.877,0.881,0.844,0.816,0.675,0.824,Laptop,4k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.831,0.793,0.836,0.83,0.826,0.811,0.623,0.824,Laptop,4k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.855161446,0.803799285,0.855767119,0.854663393,0.834337251,0.813037667,0.647083335,0.823509133,Laptop,4k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.907163398,0.904219319,0.912087919,0.907935508,0.906796571,0.888185726,0.902487836,0.885271097,Laptop,4k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.907,0.892,0.9,0.904,0.885,0.845,0.745,0.845,Laptop,4k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.841,0.882,0.856,0.845,0.899,0.864,0.78,0.873,Laptop,4k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.872340612,0.88662253,0.877055431,0.873187254,0.891542424,0.853509244,0.760377602,0.85843673,Laptop,4k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.776627792,0.771478107,0.816545372,0.825407248,0.817266109,0.691605445,0.531391247,0.618717847,Mobile,4k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.741,0.727,0.811,0.83,0.805,0.634,0.519,0.574,Mobile,4k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.857,0.873,0.825,0.822,0.841,0.91,0.893,0.913,Mobile,4k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.793992833,0.792603361,0.817407444,0.825131692,0.821573999,0.746639209,0.655715142,0.704191892,Mobile,4k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.909170724,0.916884949,0.936442227,0.936629616,0.921153205,0.824264716,0.710639002,0.84430596,Mobile,4k
MX,meanPrecision,cv_MX_train.meanPrecision,0.921,0.922,0.942,0.942,0.925,0.808,0.717,0.836,Mobile,4k
MX,meanRecall,cv_MX_train.meanRecall,0.895,0.908,0.928,0.93,0.918,0.854,0.7,0.857,Mobile,4k
MX,meanFscore,cv_MX_train.meanFscore,0.907708428,0.91483554,0.934801529,0.935860524,0.921329928,0.829696131,0.707790407,0.846060333,Mobile,4k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.789643039,0.632042516,0.810113226,0.805974174,0.640922058,0.558294176,0.621219422,0.577140331,Mobile,4k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.81,0.606,0.828,0.825,0.614,0.556,0.603,0.553,Mobile,4k
SVM,meanRecall,cv_SVM_train.meanRecall,0.755,0.755,0.779,0.777,0.757,0.716,0.717,0.791,Mobile,4k
SVM,meanFscore,cv_SVM_train.meanFscore,0.781270838,0.672169073,0.802237455,0.799837594,0.677636131,0.60781039,0.654310243,0.649565344,Mobile,4k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.795610979,0.843934562,0.808034328,0.809617283,0.849852195,0.80527606,0.682808276,0.828399115,Mobile,4k
BG,meanPrecision,cv_BG_train.meanPrecision,0.791,0.827,0.803,0.815,0.834,0.796,0.681,0.814,Mobile,4k
BG,meanRecall,cv_BG_train.meanRecall,0.804,0.87,0.814,0.803,0.874,0.825,0.686,0.856,Mobile,4k
BG,meanFscore,cv_BG_train.meanFscore,0.797211462,0.847767432,0.8076626,0.808516257,0.853390329,0.809577351,0.682135734,0.833653142,Mobile,4k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.742810202,0.817379794,0.743843074,0.743607688,0.817379794,0.819600502,0.629151373,0.819600502,Mobile,4k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.731,0.775,0.737,0.734,0.775,0.772,0.638,0.772,Mobile,4k
TREE,meanRecall,cv_TREE_train.meanRecall,0.768,0.893,0.759,0.766,0.893,0.906,0.604,0.906,Mobile,4k
TREE,meanFscore,cv_TREE_train.meanFscore,0.747599506,0.829627446,0.746953788,0.748663777,0.829627446,0.833060551,0.616742592,0.833060551,Mobile,4k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.847897731,0.863727068,0.858159848,0.857937695,0.86875852,0.81475492,0.705074219,0.835604128,Mobile,4k
RF,meanPrecision,cv_RF_train.meanPrecision,0.868,0.852,0.877,0.878,0.859,0.803,0.703,0.82,Mobile,4k
RF,meanRecall,cv_RF_train.meanRecall,0.82,0.877,0.832,0.832,0.88,0.837,0.714,0.861,Mobile,4k
RF,meanFscore,cv_RF_train.meanFscore,0.843161418,0.864230631,0.853710237,0.854065527,0.869286129,0.81888462,0.707068387,0.839252298,Mobile,4k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.49973261,0.499899789,0.498769152,0.50004637,0.499899789,0.500161963,0.500161963,0.500161963,Mobile,4k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,0.499,0.499,0.5,0.499,0.501,0.501,0.501,Mobile,4k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Mobile,4k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666488837,0.665547478,0.665245016,0.666355903,0.665547478,0.666892617,0.666892617,0.666892617,Mobile,4k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.829409668,0.788399054,0.843969971,0.833242806,0.822872086,0.819103704,0.653825477,0.829626728,Mobile,4k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.826,0.779,0.835,0.828,0.818,0.804,0.658,0.817,Mobile,4k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.833,0.804,0.855,0.844,0.832,0.847,0.647,0.855,Mobile,4k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.82922325,0.790868394,0.84447502,0.835728038,0.824492632,0.823955986,0.650879305,0.834653331,Mobile,4k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.91062238,0.905518956,0.911283336,0.918491085,0.906997844,0.899937262,0.907473762,0.89441599,Mobile,4k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.864,0.871,0.867,0.881,0.879,0.849,0.717,0.86,Mobile,4k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.813,0.903,0.829,0.847,0.891,0.89,0.715,0.88,Mobile,4k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.836207485,0.886157344,0.846635391,0.862961755,0.884535539,0.867450867,0.709626433,0.868883005,Mobile,4k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.79596707,0.803378097,0.829318266,0.825388013,0.829003652,0.787293382,0.560855772,0.755798245,Tablet,4k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.876,0.883,0.891,0.89,0.892,0.825,0.563,0.732,Tablet,4k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.689,0.701,0.75,0.742,0.749,0.729,0.806,0.836,Tablet,4k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.770100761,0.780887313,0.813901907,0.808546461,0.813663076,0.772736797,0.644467494,0.773405709,Tablet,4k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.937122235,0.934223357,0.949909487,0.949382864,0.944432481,0.837629464,0.700302124,0.852342404,Tablet,4k
MX,meanPrecision,cv_MX_train.meanPrecision,0.932,0.935,0.945,0.942,0.949,0.853,0.689,0.867,Tablet,4k
MX,meanRecall,cv_MX_train.meanRecall,0.945,0.933,0.954,0.957,0.938,0.816,0.731,0.836,Tablet,4k
MX,meanFscore,cv_MX_train.meanFscore,0.938342655,0.933854522,0.949386326,0.949222693,0.943390016,0.833658646,0.708964811,0.850880449,Tablet,4k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.822019597,0.665576288,0.839572633,0.84783801,0.671459531,0.600786715,0.67008639,0.604398396,Tablet,4k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.793,0.634,0.817,0.825,0.641,0.572,0.639,0.572,Tablet,4k
SVM,meanRecall,cv_SVM_train.meanRecall,0.875,0.783,0.875,0.883,0.779,0.844,0.787,0.833,Tablet,4k
SVM,meanFscore,cv_SVM_train.meanFscore,0.831789925,0.700251693,0.844594587,0.852514393,0.702786971,0.680762853,0.704463265,0.677306619,Tablet,4k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.826753168,0.873976406,0.836856127,0.833649865,0.874409736,0.822113267,0.712028559,0.842373608,Tablet,4k
BG,meanPrecision,cv_BG_train.meanPrecision,0.837,0.863,0.868,0.86,0.863,0.81,0.71,0.833,Tablet,4k
BG,meanRecall,cv_BG_train.meanRecall,0.814,0.889,0.795,0.795,0.891,0.843,0.717,0.855,Tablet,4k
BG,meanFscore,cv_BG_train.meanFscore,0.824256722,0.87567461,0.828959906,0.825557945,0.876575547,0.825704919,0.712951181,0.843502375,Tablet,4k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.736920197,0.844802843,0.737766974,0.735041525,0.844802843,0.82947486,0.630046226,0.82947486,Tablet,4k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.686,0.821,0.687,0.703,0.821,0.828,0.631,0.828,Tablet,4k
TREE,meanRecall,cv_TREE_train.meanRecall,0.867,0.883,0.873,0.845,0.883,0.834,0.634,0.834,Tablet,4k
TREE,meanFscore,cv_TREE_train.meanFscore,0.765815021,0.85076086,0.76815448,0.758945723,0.85076086,0.830394463,0.628186572,0.830394463,Tablet,4k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.869566128,0.890447231,0.885366682,0.883753912,0.892766592,0.839378,0.725033209,0.852382805,Tablet,4k
RF,meanPrecision,cv_RF_train.meanPrecision,0.87,0.877,0.887,0.884,0.88,0.832,0.726,0.844,Tablet,4k
RF,meanRecall,cv_RF_train.meanRecall,0.868,0.908,0.884,0.883,0.913,0.852,0.725,0.867,Tablet,4k
RF,meanFscore,cv_RF_train.meanFscore,0.868832227,0.892098963,0.885215711,0.882918495,0.895996493,0.841326715,0.724899325,0.854995311,Tablet,4k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499787266,0.499855238,0.49943943,0.500313418,0.499855238,0.501411351,0.501411351,0.501411351,Tablet,4k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.5,0.499,0.499,0.502,0.499,0.502,0.502,0.502,Tablet,4k
NNET,meanRecall,cv_NNET_train.meanRecall,1,1,1,1,1,1,1,1,Tablet,4k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666322543,0.665534872,0.665412671,0.667847108,0.665534872,0.667884071,0.667884071,0.667884071,Tablet,4k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.857882051,0.845465702,0.873572709,0.869922997,0.853187314,0.821654215,0.657391915,0.83654109,Tablet,4k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.896,0.873,0.901,0.905,0.876,0.849,0.693,0.857,Tablet,4k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.81,0.809,0.84,0.828,0.826,0.784,0.567,0.809,Tablet,4k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.850446137,0.839491939,0.869258835,0.86434474,0.850039341,0.814419804,0.622913411,0.831866102,Tablet,4k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.914813031,0.904042195,0.918135937,0.91053937,0.911620234,0.903021223,0.917891582,0.896362727,Tablet,4k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.905,0.888,0.903,0.898,0.894,0.875,0.706,0.865,Tablet,4k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.87,0.891,0.886,0.863,0.901,0.872,0.798,0.879,Tablet,4k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.886554304,0.889112262,0.893893616,0.879744,0.89722433,0.873005727,0.747946657,0.871388732,Tablet,4k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.748604903,0.753500171,0.785859171,0.781494779,0.781963934,0.725110382,0.568931444,0.725162987,TV,4k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.849,0.85,0.877,0.871,0.873,0.795,0.557,0.722,TV,4k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.605,0.615,0.663,0.658,0.66,0.606,0.77,0.739,TV,4k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.705971835,0.713029926,0.754694561,0.749480829,0.751225971,0.686842716,0.634800796,0.72744906,TV,4k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.952004286,0.939462482,0.956663868,0.956744422,0.947374266,0.81556384,0.698614651,0.827911868,TV,4k
MX,meanPrecision,cv_MX_train.meanPrecision,0.955,0.948,0.958,0.961,0.952,0.82,0.69,0.838,TV,4k
MX,meanRecall,cv_MX_train.meanRecall,0.948,0.932,0.952,0.953,0.941,0.807,0.716,0.812,TV,4k
MX,meanFscore,cv_MX_train.meanFscore,0.951434137,0.939797459,0.954932316,0.956963511,0.946354025,0.813146903,0.702340792,0.824590848,TV,4k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.828564083,0.64428983,0.851120575,0.84934307,0.655107083,0.576311693,0.663264409,0.597725208,TV,4k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.804,0.616,0.827,0.824,0.623,0.548,0.628,0.563,TV,4k
